date,population,admission,release
6/8/2021,124226.9443,3013.803965,3516.970458
6/9/2021,123865.9808,3313.519577,3543.733116
6/10/2021,123610.2672,3287.519577,3341.733116
6/11/2021,123568.5537,3292.318319,2935.233116
6/12/2021,123784.1735,3138.366799,1371.31645
6/13/2021,124714.2516,2300.644577,1660.56645
6/14/2021,125115.0798,2058.394577,3459.603546
6/15/2021,124794.618,3075.115569,3200.556154
6/16/2021,124698.5277,3113.220002,3439.010321
6/17/2021,124404.4374,3146.720002,3518.517431
6/18/2021,124249.8715,3364.949617,2886.182141
6/19/2021,124371.3057,3007.616284,1334.182141
6/20/2021,125308.2398,2271.116284,1297.306072
6/21/2021,125973.2295,1962.295771,3569.639405
6/22/2021,125460.2192,3056.629105,4228.218353
6/23/2021,124878.6826,3644.686113,3250.218353
6/24/2021,125124.146,3137.224593,3358.28502
6/25/2021,124885.0094,3119.148403,3131.118353
6/26/2021,125136.4394,3380.748403,1379.868353
6/27/2021,126126.0361,2371.21507,1410.28502
6/28/2021,126836.6329,2120.381736,3995.451686
6/29/2021,125992.2296,3149.448403,4621.051686
6/30/2021,125664.7596,4293.581736,3398.718353
7/1/2021,125392.2897,3125.91507,3759.718353
7/2/2021,124872.1531,3239.581736,3395.38502
7/3/2021,124741.7664,3264.998403,1502.38502
7/4/2021,125656.8798,2415.748403,1445.107242
7/5/2021,126426.4932,2216.498403,1502.718353
7/6/2021,127050.1066,2126.331736,3785.218353
7/7/2021,126414.97,3150.081736,3600.218353
7/8/2021,126063.8334,3249.081736,3496.940575
7/9/2021,125762.1412,3195.248403,3256.107242
7/10/2021,125860.6157,3355.248403,1368.773908
7/11/2021,126758.0902,2266.248403,1410.773908
7/12/2021,127270.5647,1923.248403,3363.607242
7/13/2021,126906.0392,2997.303958,3334.107242
7/14/2021,126965.0137,3394.081736,3515.607242
7/15/2021,126529.4882,3079.081736,3496.840575
7/16/2021,126218.296,3187.248403,3079.152363
7/17/2021,126394.8148,3255.671147,1409.152363
7/18/2021,127326.3336,2340.671147,1438.652363
7/19/2021,127822.3523,1934.671147,3488.902363
7/20/2021,127354.7878,3020.487813,3486.874586
7/21/2021,127203.7232,3338.087813,3440.81903
7/22/2021,126776.8254,3013.921147,3223.81903
7/23/2021,126641.4275,3088.421147,3037.06903
7/24/2021,126731.7796,3127.421147,1384.363902
7/25/2021,127628.542,2281.126275,1365.197235
7/26/2021,128209.6377,1946.292942,3414.363902
7/27/2021,127648.4,2853.126275,3299.613902
7/28/2021,127506.1624,3157.376275,3229.697235
7/29/2021,127340.4248,3061.515164,3228.017235
7/30/2021,127193.8538,3086.886275,3244.443722
7/31/2021,127240.1748,3290.764653,1480.777055
8/1/2021,128555.1624,2380.52715,1516.261877
8/2/2021,129155.1392,2112.322095,3657.074377
8/3/2021,128498.012,2998.347095,4396.574377
8/4/2021,127887.8847,3784.96246,3417.433085
8/5/2021,127765.3812,3294.429565,3572.408085
8/6/2021,127615.1276,3428.804565,3238.724752
8/7/2021,127826.8741,3448.221232,1602.724752
8/8/2021,128605.6206,2382.971232,1572.224752
8/9/2021,129100.3671,2065.971232,3792.224752
8/10/2021,128339.1136,3032.804565,3487.391418
8/11/2021,128172.1934,3321.137898,3585.558085
8/12/2021,127765.1621,3178.526787,3509.558085
8/13/2021,127491.6308,3235.36012,3344.558085
8/14/2021,127528.4328,3381.36012,1475.558085
8/15/2021,128392.2348,2338.46012,1556.558085
8/16/2021,128867.0369,2031.36012,3712.210627
8/17/2021,128026.9604,2874.100233,3394.176729
8/18/2021,127797.8839,3165.100233,3355.051729
8/19/2021,127541.0574,3098.138695,3212.228983
8/20/2021,127347.2913,3018.46285,3048.228983
8/21/2021,127540.3585,3239.46285,1406.228983
8/22/2021,128367.4257,2233.296183,1412.228983
8/23/2021,128870.9929,1916.50285,4360.307252
8/24/2021,128095.6801,3584.994517,3511.307252
8/25/2021,128029.3674,3444.994517,3268.640585
8/26/2021,127766.2769,2993.711325,3394.069858
8/27/2021,127701.0084,3332.719715,3250.673033
8/28/2021,127712.2126,3266.203842,1442.505999
8/29/2021,128762.4169,2493.605357,1397.841625
8/30/2021,129323.8539,1959.590151,3667.944886
8/31/2021,128596.0408,2940.131818,3557.944886
9/1/2021,128067.7277,3029.631818,3773.088297
9/2/2021,127399.8022,3105.996159,3336.704664
9/3/2021,127201.1058,3150.988651,3105.601811
9/4/2021,127492.687,3395.46881,1519.49612
9/5/2021,128415.7927,2444.268462,1511.162786
9/6/2021,129066.8984,2162.268462,1566.412786
9/7/2021,129596.5041,2095.185128,3819.037786
9/8/2021,128849.6931,3072.226795,3641.037786
9/9/2021,128331.4821,3122.826795,3513.420139
9/10/2021,128058.7123,3238.983658,3335.820139
